PID COMMAND
88561 /Applications/Visual
89317 /Users/robertpoenaru/.pyenv/versions/3.8.6/envs/systems/bin/python
87702 /Applications/Canary
482 /usr/libexec/nsurlsessiond
44312 com.docker.hyperkit
152 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
43979 /Users/robertpoenaru/.wakatime/wakatime-cli/wakatime-cli
88847 /Applications/Visual
43515 /usr/sbin/bluetoothaudiod
88556 /Applications/Visual
42863 /Applications/Brave
223 /usr/sbin/coreaudiod
11257 /Applications/Signal.app/Contents/Frameworks/Signal
515 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
88553 /Applications/Visual
215 /usr/libexec/syspolicyd
88851 /bin/zsh
88497 /Applications/Notion.app/Contents/Frameworks/Notion
88848 /Applications/Visual
88485 /Applications/Notion.app/Contents/MacOS/Notion
3078 /usr/libexec/taskgated
127 /usr/libexec/dasd
418 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
438 /usr/sbin/distnoted
138 /usr/sbin/bluetoothd
102 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
88495 /Applications/Notion.app/Contents/Frameworks/Notion
43397 /usr/libexec/PerfPowerServicesExtended
541 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
145 /usr/sbin/cfprefsd
1452 /System/Library/CoreServices/cloudpaird
88482 /Applications/Brave
130 /usr/sbin/distnoted
1444 /Applications/Logi
88850 /Applications/Visual
1411 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
238 /usr/libexec/nehelper
1 /sbin/launchd
142 /usr/libexec/AirPlayXPCHelper
89249 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
1712 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
139 /usr/sbin/notifyd
1445 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri
471 /usr/libexec/UserEventAgent
113 /usr/libexec/opendirectoryd
88455 /Applications/Brave
41363 /Applications/Brave
613 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
88488 /Applications/Notion.app/Contents/Frameworks/Notion
43573 /Applications/Brave
9322 /Applications/Brave
24085 /Applications/Min.app/Contents/Frameworks/Min
1472 /Applications/One
645 /usr/libexec/sharingd
644 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
91 /usr/libexec/logd
41522 /Applications/Brave
41487 /Applications/Brave
641 io.fadel.Batteries.Helper
84 /Library/Application
38098 /Applications/Min.app/Contents/Frameworks/Min
1455 /Library/Application
81 /usr/sbin/systemstats
41510 /Applications/Brave
77 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
88480 /Applications/Brave
88479 /Applications/Brave
498 /usr/libexec/trustd
88477 /Applications/Brave
88475 /Applications/Brave
89020 /Applications/Visual
10653 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
10652 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
97114 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
92124 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
92123 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
92114 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
92113 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
92028 /Applications/Visual
91246 /Applications/Visual
91038 /usr/libexec/applessdstatistics
89473 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
89472 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
89404 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
89397 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
89255 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
89251 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
88849 /Applications/Visual
88558 /Applications/Visual
88557 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
88555 /Applications/Visual
88506 /Applications/Brave
88504 /Users/robertpoenaru/Applications/Brave
88501 /Applications/Notion.app/Contents/Frameworks/Notion
88499 /Applications/Notion.app/Contents/Frameworks/Notion
88493 /Applications/Notion.app/Contents/Frameworks/Notion
88492 /Applications/Notion.app/Contents/Frameworks/Notion
88491 /Applications/Notion.app/Contents/Frameworks/Notion
88490 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
88489 /Applications/Notion.app/Contents/Frameworks/Notion
88487 /Applications/Notion.app/Contents/Frameworks/Electron
88484 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
88474 /Applications/Brave
88466 /Applications/Brave
88465 /Applications/Brave
88464 /Applications/Brave
88463 /Applications/Brave
